nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile
E,E01031428,27.711,24.6,15.9,27.711,3,3,11412.0,3,2
E,E01020048,27.71,24.6,16.400000000000002,27.71,3,3,11413.0,3,2
S,S01007849,38.237422070164406,26.0,17.0,27.709856562676848,2,3,11414.0,3,2
E,E01004280,27.709,41.3,15.4,27.709,3,3,11415.0,3,2
E,E01020217,27.707,28.599999999999998,18.8,27.707,3,3,11416.0,3,2
E,E01003530,27.706,32.9,13.100000000000001,27.706,3,3,11417.5,3,2
E,E01005479,27.706,25.1,18.7,27.706,3,3,11417.5,3,2
E,E01032568,27.705,31.3,16.7,27.705,3,3,11419.0,3,2
E,E01007230,27.704,21.3,16.3,27.704,3,3,11420.0,3,2
E,E01033387,27.701,26.200000000000003,15.2,27.701,3,3,11421.0,3,2
S,S01010239,36.05741892904914,25.0,14.0,27.700756172807,2,3,11422.0,3,2
E,E01000552,27.7,37.0,16.2,27.7,3,3,11423.0,3,2
E,E01000464,27.698,37.3,17.9,27.698,3,3,11424.5,3,2
E,E01012118,27.698,26.3,17.7,27.698,3,3,11424.5,3,2
E,E01009604,27.696,29.4,14.7,27.696,3,3,11426.0,3,2
N,95BB05S1,16.165374483399745,14.0,16.0,27.69404062927835,6,3,11427.0,3,2
E,E01031599,27.693,25.6,24.099999999999998,27.693,3,3,11428.5,3,2
E,E01015189,27.693,22.0,15.8,27.693,3,3,11428.5,3,2
E,E01019775,27.692,29.799999999999997,18.3,27.692,3,3,11430.0,3,2
E,E01002212,27.689,41.5,12.6,27.689,3,3,11431.0,3,2
E,E01019036,27.688,17.9,12.3,27.688,3,3,11432.0,3,2
E,E01020496,27.687,28.000000000000004,21.0,27.687,3,3,11433.5,3,2
E,E01011691,27.687,30.3,17.7,27.687,3,3,11433.5,3,2
S,S01008715,37.492102108937225,21.0,16.0,27.685140983770175,2,3,11435.0,3,2
E,E01027058,27.685,31.8,18.6,27.685,3,3,11436.0,3,2
E,E01009164,27.684,30.0,20.4,27.684,3,3,11437.5,3,2
E,E01018865,27.684,30.8,18.0,27.684,3,3,11437.5,3,2
S,S01010168,36.7626661233811,26.0,15.0,27.678889570993896,2,3,11439.0,3,2
E,E01000046,27.678,38.2,16.900000000000002,27.678,3,3,11440.0,3,2
E,E01008510,27.676,30.3,17.4,27.676,3,3,11441.0,3,2
W,W01001482,36.4,24.0,15.0,27.67076746592031,2,3,11442.0,3,2
E,E01004777,27.67,29.599999999999998,16.900000000000002,27.67,3,3,11443.0,3,2
E,E01016045,27.669,26.700000000000003,16.3,27.669,3,3,11444.0,3,2
E,E01031321,27.668,36.5,18.099999999999998,27.668,3,3,11445.0,3,2
E,E01020706,27.667,20.200000000000003,16.400000000000002,27.667,3,3,11446.0,3,2
E,E01015856,27.666,27.1,15.9,27.666,3,3,11448.0,3,2
E,E01002015,27.666,37.4,19.5,27.666,3,3,11448.0,3,2
E,E01011249,27.666,27.700000000000003,17.5,27.666,3,3,11448.0,3,2
S,S01011345,38.92055561773416,27.0,18.0,27.662284176869726,2,3,11450.0,3,2
E,E01030278,27.662,27.6,21.5,27.662,3,3,11451.5,3,2
E,E01024396,27.662,28.199999999999996,17.8,27.662,3,3,11451.5,3,2
S,S01009335,37.47124149759801,22.0,16.0,27.660891778072216,2,3,11453.0,3,2
E,E01025766,27.66,32.1,16.5,27.66,3,3,11454.0,3,2
E,E01026288,27.659,37.3,19.900000000000002,27.659,3,3,11455.5,3,2
E,E01011532,27.659,28.999999999999996,17.9,27.659,3,3,11455.5,3,2
W,W01001261,36.6,24.0,16.0,27.65672757717831,2,3,11457.5,3,2
W,W01000961,36.6,26.0,16.0,27.65672757717831,2,3,11457.5,3,2
E,E01019864,27.656,28.499999999999996,18.3,27.656,3,3,11459.5,3,2
E,E01013969,27.656,23.0,14.799999999999999,27.656,3,3,11459.5,3,2
N,95KK15W1,15.259707958313411,10.4,17.4,27.65549049391184,6,3,11461.0,3,2
E,E01032930,27.654,23.3,13.8,27.654,3,3,11462.5,3,2
E,E01001347,27.654,38.0,14.899999999999999,27.654,3,3,11462.5,3,2
E,E01012963,27.651,32.6,23.9,27.651,3,3,11464.0,3,2
E,E01002101,27.649,32.0,12.3,27.649,3,3,11465.5,3,2
E,E01021888,27.649,31.4,17.5,27.649,3,3,11465.5,3,2
E,E01029079,27.647,31.8,23.599999999999998,27.647,3,3,11467.5,3,2
E,E01001325,27.647,33.2,13.5,27.647,3,3,11467.5,3,2
N,95SS07S2,14.32542082975194,11.7,18.9,27.64613641409492,7,3,11469.0,3,2
E,E01003330,27.641,39.7,19.400000000000002,27.641,3,3,11470.5,3,2
E,E01031859,27.641,26.6,15.5,27.641,3,3,11470.5,3,2
E,E01000520,27.639,38.3,13.5,27.639,3,3,11472.0,3,2
