nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_W_score,original_decile,W_expanded_decile,UK_IMD_W_rank,UK_IMD_W_pop_decile,UK_IMD_W_pop_quintile
E,E01023997,27.01,16.7,11.899999999999999,34.918974545792054,3,2,12419.0,3,2
E,E01032986,26.315,27.400000000000002,15.8,34.91624885459008,4,2,12420.0,3,2
E,E01016724,26.35,29.799999999999997,15.6,34.91560495287638,4,2,12421.0,3,2
E,E01027352,26.792,31.3,13.100000000000001,34.91305762031805,3,2,12422.0,3,2
N,95II16W1,12.277752085370604,6.4,18.8,34.91102117118501,7,2,12423.0,3,2
E,E01029367,25.741,30.2,19.0,34.9094356944359,4,2,12424.0,3,2
E,E01005495,26.054,25.4,17.2,34.90119549507361,4,2,12425.0,3,2
W,W01000406,34.9,25.0,15.0,34.9,2,2,12427.0,3,2
W,W01001332,34.9,27.0,16.0,34.9,2,2,12427.0,3,2
W,W01000729,34.9,24.0,16.0,34.9,2,2,12427.0,3,2
E,E01031127,25.856,32.7,18.3,34.89801297366657,4,2,12429.0,3,2
E,E01026713,26.956,17.2,12.1,34.896390150084855,3,2,12430.0,3,2
E,E01023336,26.617,32.1,14.000000000000002,34.894560693563065,3,2,12431.0,3,2
E,E01029648,26.1,32.1,16.900000000000002,34.89228311970119,4,2,12432.0,4,2
E,E01006535,25.917,22.3,17.9,34.8857222925135,4,2,12433.0,4,2
E,E01008307,26.165,26.3,16.5,34.884882606426196,4,2,12434.0,4,2
E,E01035283,26.502,27.500000000000004,14.6,34.88426697900895,4,2,12435.0,4,2
E,E01033010,28.401,2.8000000000000003,3.9,34.88221559951862,3,2,12436.0,4,2
E,E01001337,26.624,28.000000000000004,13.900000000000002,34.88140205202626,3,2,12437.0,4,2
E,E01024998,26.213,26.700000000000003,16.2,34.878415314992814,4,2,12438.0,4,2
E,E01031261,26.923,27.900000000000002,12.2,34.87776270041414,3,2,12439.0,4,2
E,E01015781,26.15,34.5,16.5,34.8665444768834,4,2,12440.0,4,2
E,E01032764,26.645,34.1,13.700000000000001,34.86364256273929,3,2,12441.0,4,2
E,E01031830,25.774,30.4,18.6,34.862913838136265,4,2,12442.0,4,2
E,E01031911,25.916,31.0,17.8,34.86278331522053,4,2,12443.0,4,2
E,E01009302,26.339,20.8,15.4,34.85872412056476,4,2,12444.0,4,2
E,E01003803,25.397,32.4,20.7,34.85806065741961,4,2,12445.0,4,2
E,E01013239,26.356,23.7,15.299999999999999,34.85779089872316,4,2,12446.0,4,2
E,E01024696,26.071,27.3,16.900000000000002,34.856829402585106,4,2,12447.0,4,2
E,E01000619,26.904,33.0,12.2,34.85453440299326,3,2,12448.0,4,2
E,E01004296,26.423,39.7,14.899999999999999,34.85283546938721,4,2,12449.0,4,2
E,E01004385,25.854,29.2,18.099999999999998,34.85213501908063,4,2,12450.0,4,2
E,E01020551,26.047,28.4,17.0,34.849204830640076,4,2,12451.0,4,2
E,E01000103,26.062,36.9,16.900000000000002,34.845826524859426,4,2,12452.0,4,2
E,E01025806,25.919,33.7,17.7,34.84473450580564,4,2,12453.0,4,2
E,E01009922,25.83,33.800000000000004,18.2,34.8445104471356,4,2,12454.0,4,2
E,E01001037,26.344,31.8,15.299999999999999,34.84312039508892,4,2,12455.0,4,2
E,E01019051,25.685,29.5,19.0,34.840973344142775,4,2,12456.0,4,2
E,E01015265,25.844,24.9,18.099999999999998,34.83990959938543,4,2,12457.0,4,2
E,E01016881,25.613,28.999999999999996,19.400000000000002,34.83981606363112,4,2,12458.0,4,2
E,E01002044,26.909,25.4,12.1,34.83893067751741,3,2,12459.0,4,2
E,E01022474,26.193,28.999999999999996,16.1,34.83224804027897,4,2,12460.0,4,2
E,E01023122,26.477,29.2,14.499999999999998,34.831986994447504,4,2,12461.0,4,2
E,E01010451,25.925,37.6,17.599999999999998,34.83035332229931,4,2,12462.0,4,2
S,S01012683,35.65113191754081,23.0,15.0,34.83029335121734,2,2,12463.0,4,2
E,E01018943,26.99,21.4,11.600000000000001,34.8293744004313,3,2,12464.0,4,2
E,E01008019,25.995,27.700000000000003,17.2,34.82906551887192,4,2,12465.0,4,2
S,S01007484,40.78922693789671,20.0,24.0,34.825844650377576,2,2,12466.0,4,2
E,E01024086,26.291,25.4,15.5,34.821758541351244,4,2,12467.0,4,2
E,E01027927,25.721,26.6,18.7,34.81983554907515,4,2,12468.0,4,2
E,E01001111,26.324,26.6,15.299999999999999,34.81866955569851,4,2,12469.0,4,2
E,E01027395,26.179,23.9,16.1,34.81513245270568,4,2,12470.0,4,2
E,E01006007,26.231,28.7,15.8,34.81355532915039,4,2,12471.0,4,2
E,E01004327,26.426,31.4,14.7,34.813070224648875,4,2,12472.0,4,2
N,95EE15W1,14.391072026007834,12.6,16.1,34.812641403399084,7,2,12473.0,4,2
E,E01029766,25.962,28.799999999999997,17.299999999999997,34.810438069201204,4,2,12474.0,4,2
S,S01011939,37.92138460042198,20.0,19.0,34.80935100338061,2,2,12475.0,4,2
E,E01015328,26.245,29.299999999999997,15.7,34.80895448140022,4,2,12476.0,4,2
E,E01016869,25.836,31.6,18.0,34.80841282830581,4,2,12477.0,4,2
E,E01018145,26.545,34.599999999999994,14.000000000000002,34.80653767175762,4,2,12478.0,4,2
E,E01024988,25.601,22.1,19.3,34.80342912467342,4,2,12479.0,4,2
E,E01032836,26.258,31.5,15.6,34.80313109168053,4,2,12480.0,4,2
E,E01011307,26.115,22.0,16.400000000000002,34.80203907262674,4,2,12481.0,4,2
E,E01003608,27.056,33.300000000000004,11.1,34.80147999380238,3,2,12482.0,4,2
E,E01015936,26.079,30.599999999999998,16.6,34.801460432370924,4,2,12483.0,4,2
E,E01032277,25.99,29.4,17.1,34.801236373700874,4,2,12484.0,4,2
W,W01001525,34.8,26.0,15.0,34.8,2,2,12485.0,4,2
E,E01001277,26.609,34.5,13.600000000000001,34.79791461651311,3,2,12486.0,4,2
E,E01017499,26.075,22.0,16.6,34.79657026449284,4,2,12487.0,4,2
E,E01027312,25.843,30.599999999999998,17.9,34.79525418676901,4,2,12488.0,4,2
S,S01011570,36.19499302867472,22.0,16.0,34.79137402098112,2,2,12489.0,4,2
E,E01008108,26.95,27.6,11.600000000000001,34.7804727216505,3,2,12490.0,4,2
E,E01031047,26.399,29.5,14.7,34.780061591471835,4,2,12491.0,4,2
E,E01011541,26.097,23.1,16.400000000000002,34.78003331717539,4,2,12492.0,4,2
E,E01022041,25.793,21.7,18.099999999999998,34.7775599589399,4,2,12493.0,4,2
E,E01017251,25.881,30.8,17.599999999999998,34.77656147564043,4,2,12494.0,4,2
E,E01013213,25.861,28.9,17.7,34.77382707157347,4,2,12495.0,4,2
N,95MM01S2,14.67807337952662,15.2,15.7,34.769821457629874,7,2,12496.0,4,2
S,S01007956,34.465944120606494,25.0,13.0,34.76962061425399,2,2,12497.0,4,2
E,E01022916,26.264,33.2,15.4,34.76703347285075,4,2,12498.0,4,2
E,E01028083,26.367,30.099999999999998,14.799999999999999,34.76265668377063,4,2,12499.0,4,2
E,E01029249,25.921,31.900000000000002,17.299999999999997,34.76031384845088,4,2,12500.0,4,2
E,E01029555,25.915,27.800000000000004,17.299999999999997,34.75297859663376,4,2,12501.0,4,2
E,E01015700,26.605,41.199999999999996,13.4,34.749591577988134,3,2,12502.0,4,2
E,E01028260,25.503,21.4,19.6,34.7487693176308,4,2,12503.0,4,2
S,S01007878,37.30746805526004,19.0,18.0,34.74871235021196,2,2,12504.0,4,2
E,E01004344,26.494,34.0,14.000000000000002,34.74418803131209,4,2,12505.0,4,2
E,E01021017,26.381,17.8,14.6,34.73633940069702,4,2,12506.5,4,2
E,E01012715,26.381,20.200000000000003,14.6,34.73633940069702,4,2,12506.5,4,2
E,E01005505,25.848,26.200000000000003,17.599999999999998,34.73621759064626,4,2,12508.0,4,2
E,E01022016,26.718,18.2,12.7,34.735723773279766,3,2,12509.0,4,2
E,E01033561,27.232,27.400000000000002,9.8,34.734333721233085,3,2,12510.0,4,2
S,S01009620,35.58158018195956,22.0,15.0,34.73145118953709,2,2,12511.0,4,2
E,E01034397,26.286,33.4,15.1,34.728780090209845,4,2,12512.0,4,2
E,E01001511,26.549,36.3,13.600000000000001,34.724562098341906,4,2,12513.0,4,2
E,E01000405,26.102,35.3,16.1,34.720996721052636,4,2,12514.0,4,2
E,E01028254,25.657,21.8,18.6,34.71987642770242,4,2,12515.0,4,2
E,E01014906,25.852,29.599999999999998,17.5,34.719391323200895,4,2,12516.0,4,2
E,E01006925,25.674,31.5,18.5,34.718943205860796,4,2,12517.0,4,2
E,E01001162,25.743,30.7,18.099999999999998,34.71643286046389,4,2,12518.0,4,2
E,E01032505,25.74,25.7,18.099999999999998,34.712765234555334,4,2,12519.0,4,2
E,E01014138,25.899,28.4,17.2,34.71170148979799,4,2,12520.0,4,2
E,E01035296,26.947,24.7,11.3,34.711655789771584,3,2,12521.0,4,2
E,E01023303,26.343,30.8,14.7,34.7115992411787,4,2,12522.0,4,2
S,S01012653,34.42386275776361,20.0,13.0,34.70981746433859,2,2,12523.0,4,2
E,E01019776,25.684,23.1,18.4,34.709452190232554,4,2,12524.0,4,2
E,E01010112,25.931,29.5,17.0,34.70738996217574,4,2,12525.0,4,2
E,E01005374,25.913,27.3,17.1,34.70710064204782,4,2,12526.0,4,2
E,E01009241,26.318,39.300000000000004,14.799999999999999,34.70275212726415,4,2,12527.0,4,2
W,W01000976,34.7,25.0,18.0,34.7,2,2,12529.5,4,2
W,W01001764,34.7,25.0,9.0,34.7,2,2,12529.5,4,2
W,W01001895,34.7,22.0,23.0,34.7,2,2,12529.5,4,2
W,W01001282,34.7,24.0,16.0,34.7,2,2,12529.5,4,2
E,E01003164,26.58,26.8,13.3,34.69731159342668,4,2,12532.0,4,2
E,E01017618,25.78,31.1,17.8,34.69651760736579,4,2,12533.0,4,2
E,E01018622,26.22,23.1,15.299999999999999,34.69152519086842,4,2,12534.0,4,2
E,E01018873,26.057,27.900000000000002,16.2,34.687698767747676,4,2,12535.0,4,2
S,S01011567,34.97934193767595,17.0,14.0,34.68740893750666,2,2,12536.0,4,2
S,S01011264,34.405856479429175,26.0,13.0,34.68422817516388,2,2,12537.0,4,2
E,E01030812,26.587,22.1,13.200000000000001,34.68415295188988,4,2,12538.0,4,2
E,E01014478,25.588,29.599999999999998,18.8,34.67895390245242,4,2,12539.0,4,2
S,S01006674,38.97113128586892,21.0,21.0,34.67754411164873,2,2,12540.0,4,2
E,E01020290,26.794,17.4,12.0,34.67662191569915,3,2,12541.0,4,2
E,E01014469,25.657,30.3,18.4,34.676443557055514,4,2,12542.0,4,2
E,E01015813,26.099,24.7,15.9,34.67389622449718,4,2,12543.0,4,2
E,E01026068,26.187,18.0,15.4,34.6728977411977,4,2,12544.0,4,2
E,E01004921,26.097,27.700000000000003,15.9,34.67145114055814,4,2,12545.0,4,2
E,E01001714,26.219,36.0,15.2,34.66858621357545,4,2,12546.0,4,2
E,E01024742,25.987,33.900000000000006,16.5,34.667270135851616,4,2,12547.0,4,2
E,E01022011,26.003,20.9,16.400000000000002,34.66511437204049,4,2,12548.0,4,2
S,S01011602,34.39228944235495,16.0,13.0,34.66494763153969,2,2,12549.0,4,2
E,E01026656,26.499,17.599999999999998,13.600000000000001,34.6634349998659,4,2,12550.0,4,2
E,E01002596,26.605,28.9,13.0,34.66272583669434,3,2,12551.0,4,2
E,E01005816,26.569,26.5,13.200000000000001,34.66214719643851,4,2,12552.0,4,2
E,E01032345,25.555,13.4,18.9,34.6603264527817,4,2,12553.0,4,2
N,95TT11S1,14.0852710796642,13.7,16.3,34.658297685490794,7,2,12554.0,4,2
E,E01003942,26.227,33.5,15.1,34.65665011400816,4,2,12555.0,4,2
E,E01025931,26.102,27.800000000000004,15.8,34.65584741508229,4,2,12556.0,4,2
E,E01008880,25.514,25.900000000000002,19.1,34.65363510267828,4,2,12557.0,4,2
E,E01003684,26.417,45.4,14.000000000000002,34.650052299659045,4,2,12558.0,4,2
E,E01024487,26.414,16.7,14.000000000000002,34.64638467375048,4,2,12559.0,4,2
E,E01005534,25.792,29.7,17.5,34.64603880502969,4,2,12560.0,4,2
E,E01001844,26.447,26.1,13.8,34.643295688097744,4,2,12561.0,4,2
E,E01020585,25.753,26.700000000000003,17.7,34.641792538865296,4,2,12562.0,4,2
E,E01034608,26.445,30.5,13.8,34.64085060415871,4,2,12563.0,4,2
S,S01012754,35.516552578453,23.0,15.0,34.63903841441711,2,2,12564.0,4,2
E,E01021508,26.248,28.599999999999998,14.899999999999999,34.63889062472119,4,2,12565.0,4,2
E,E01009967,25.713,27.3,17.9,34.6363237307314,4,2,12566.0,4,2
S,S01007128,35.513868000784264,21.0,15.0,34.63522327655234,2,2,12567.0,4,2
S,S01008450,32.65746886249638,23.0,10.0,34.63499192027626,3,2,12568.0,4,2
E,E01018925,26.97,16.7,10.8,34.6311920784533,3,2,12569.0,4,2
E,E01006717,25.879,22.6,16.900000000000002,34.62210134443724,4,2,12570.0,4,2
S,S01012585,35.50146452848348,23.0,15.0,34.61759631146937,2,2,12571.0,4,2
E,E01031791,25.981,26.700000000000003,16.3,34.6165020133876,4,2,12572.0,4,2
E,E01034851,25.625,27.6,18.3,34.61560577870742,4,2,12573.0,4,2
E,E01000565,26.28,31.5,14.6,34.61286266177549,4,2,12574.0,4,2
E,E01003708,25.887,38.9,16.8,34.610165244869954,4,2,12575.0,4,2
E,E01026444,26.686,17.299999999999997,12.3,34.60973668896132,3,2,12576.0,4,2
E,E01017748,25.619,29.9,18.3,34.6082705268903,4,2,12577.0,4,2
E,E01003216,25.901,26.6,16.7,34.60556439711979,4,2,12578.0,4,2
E,E01012741,26.218,25.4,14.899999999999999,34.60221436563558,4,2,12579.0,4,2
E,E01000632,27.55,28.7,7.3999999999999995,34.601907619777705,3,2,12580.0,4,2
E,E01004427,26.607,31.7,12.7,34.600021614663035,3,2,12581.0,4,2
W,W01001325,34.6,23.0,17.0,34.6,2,2,12582.5,4,2
W,W01000960,34.6,24.0,18.0,34.6,2,2,12582.5,4,2
E,E01009864,25.878,31.4,16.8,34.599162367144274,4,2,12584.0,4,2
E,E01003280,25.647,31.7,18.099999999999998,34.59906883138996,4,2,12585.0,4,2
E,E01023899,26.641,30.5,12.5,34.598155170979815,3,2,12586.0,4,2
E,E01023631,25.75,35.699999999999996,17.5,34.594692042309845,4,2,12587.0,4,2
E,E01003771,26.46,33.2,13.5,34.59403942773117,4,2,12588.0,4,2
E,E01029354,25.357,25.8,19.7,34.59199462540431,4,2,12589.0,4,2
E,E01003782,26.635,41.0,12.5,34.5908199191627,3,2,12590.0,4,2
E,E01006228,26.173,27.1,15.1,34.59063284765407,4,2,12591.0,4,2
E,E01009176,25.569,33.2,18.5,34.59057629906118,4,2,12592.0,4,2
E,E01015289,25.85,27.500000000000004,16.900000000000002,34.58664762732116,4,2,12593.0,4,2
E,E01034481,26.063,38.1,15.7,34.586451842947554,4,2,12594.0,4,2
E,E01012460,25.37,29.9,19.6,34.58617123568463,4,2,12595.0,4,2
E,E01028025,25.867,27.200000000000003,16.8,34.58571440547956,4,2,12596.0,4,2
E,E01010890,26.133,29.299999999999997,15.299999999999999,34.585164039520166,4,2,12597.0,4,2
E,E01012607,25.526,34.1,18.7,34.58143986501872,4,2,12598.0,4,2
E,E01001556,26.093,33.2,15.5,34.57969523138626,4,2,12599.0,4,2
E,E01019485,25.736,23.200000000000003,17.5,34.57757645473656,4,2,12600.0,4,2
E,E01000062,26.18,35.6,15.0,34.577474206117266,4,2,12601.0,4,2
S,S01009538,37.18598230472903,22.0,18.0,34.57606512443849,2,2,12602.0,4,2
E,E01014344,25.787,30.5,17.2,34.57477678921174,4,2,12603.0,4,2
E,E01006835,25.786,19.8,17.2,34.57355424724222,4,2,12604.0,4,2
E,E01019252,25.837,21.099999999999998,16.900000000000002,34.570754581717395,4,2,12605.0,4,2
S,S01007901,36.61031402971273,22.0,17.0,34.569782292445716,2,2,12606.0,4,2
E,E01014159,25.463,26.900000000000002,19.0,34.569569026909306,4,2,12607.0,4,2
E,E01020293,26.703,19.2,12.0,34.56537059647282,3,2,12608.0,4,2
S,S01012086,36.606234671874624,21.0,17.0,34.56398498855939,2,2,12609.0,4,2
E,E01007797,25.668,26.3,17.8,34.55959290677954,4,2,12610.0,4,2
S,S01010321,34.316745220907855,21.0,13.0,34.5575893594868,2,2,12611.0,4,2
E,E01011918,26.11,30.599999999999998,15.299999999999999,34.557045574221206,4,2,12612.0,4,2
E,E01026468,26.607,21.3,12.5,34.55658874401613,3,2,12613.0,4,2
E,E01030188,26.409,24.7,13.600000000000001,34.553406222609084,4,2,12614.0,4,2
E,E01000373,26.247,36.1,14.499999999999998,34.550802341457874,4,2,12615.0,4,2
E,E01004217,26.389,29.299999999999997,13.700000000000001,34.550671818542135,4,2,12616.0,4,2
E,E01016177,26.158,25.1,15.0,34.550578282787825,4,2,12617.0,4,2
E,E01031441,25.782,29.7,17.1,34.546947644040685,4,2,12618.0,4,2
E,E01029549,25.317,26.700000000000003,19.7,34.5430929466235,4,2,12619.0,4,2
E,E01019536,25.743,28.9,17.299999999999997,34.5427013778763,4,2,12620.0,4,2
E,E01027317,25.636,29.599999999999998,17.9,34.542187999078344,4,2,12621.0,4,2
S,S01011791,36.019043512198934,21.0,16.0,34.5413266223113,2,2,12622.0,4,2
E,E01012755,25.564,22.7,18.3,34.541030718566695,4,2,12623.0,4,2
E,E01032529,26.075,26.5,15.4,34.53597304061145,4,2,12624.0,4,2
S,S01013123,36.58597143361553,21.0,17.0,34.53518826256209,2,2,12625.0,4,2
S,S01009509,37.15521054757089,23.0,18.0,34.53233441131118,2,2,12626.0,4,2
S,S01013231,37.725610524378695,20.0,19.0,34.5311302988165,2,2,12627.0,4,2
E,E01031526,26.175,18.0,14.799999999999999,34.52792862562277,4,2,12628.0,4,2
E,E01034041,26.793,28.999999999999996,11.3,34.52338432646549,3,2,12629.0,4,2
E,E01031332,25.974,29.599999999999998,15.9,34.52107847830716,4,2,12630.0,4,2
E,E01003984,26.38,27.0,13.600000000000001,34.517952505493,4,2,12631.0,4,2
E,E01006449,25.474,29.099999999999998,18.7,34.51786768260368,4,2,12632.0,4,2
E,E01033915,25.899,41.099999999999994,16.3,34.516253571886956,4,2,12633.0,4,2
E,E01003193,26.057,29.4,15.4,34.513967285160085,4,2,12634.0,4,2
E,E01015167,25.879,25.6,16.400000000000002,34.51351916782,4,2,12635.0,4,2
E,E01002708,25.965,32.9,15.9,34.51007560058148,4,2,12636.0,4,2
E,E01031360,25.751,30.4,17.1,34.509048842985564,4,2,12637.0,4,2
E,E01017282,25.502,28.4,18.5,34.50866598710334,4,2,12638.0,4,2
E,E01000475,27.009,32.5,10.0,34.505139732676994,3,2,12639.0,4,2
E,E01029929,26.032,22.3,15.5,34.50512017124554,4,2,12640.5,4,2
E,E01021674,26.032,27.200000000000003,15.5,34.50512017124554,4,2,12640.5,4,2
E,E01015543,25.71,28.4,17.299999999999997,34.50235749288214,4,2,12642.0,4,2
E,E01031550,26.135,28.000000000000004,14.899999999999999,34.50074338216542,4,2,12643.0,4,2
W,W01001910,34.5,24.0,16.0,34.5,2,2,12645.0,4,2
W,W01001298,34.5,22.0,16.0,34.5,2,2,12645.0,4,2
W,W01000226,34.5,26.0,15.0,34.5,2,2,12645.0,4,2
E,E01019918,25.187,20.4,20.200000000000003,34.49274466720313,4,2,12647.0,4,2
E,E01007580,25.08,24.7,20.8,34.49223128840518,4,2,12648.0,4,2
E,E01017297,26.926,16.5,10.4,34.49053449050062,3,2,12649.0,4,2
S,S01006632,35.41169819168853,20.0,15.0,34.490026543428634,2,2,12650.0,4,2
E,E01009732,25.323,34.8,19.400000000000002,34.48527889247028,4,2,12651.0,4,2
E,E01035678,26.228,41.6,14.299999999999999,34.48414117339009,4,2,12652.0,4,2
N,95XX05W1,13.18782399977205,11.8,17.2,34.48208506481281,7,2,12653.0,4,2
E,E01013158,25.817,32.4,16.6,34.481154436356654,4,2,12654.0,4,2
E,E01014426,25.354,28.599999999999998,19.2,34.47974482287851,4,2,12655.0,4,2
E,E01002211,26.027,35.699999999999996,15.4,34.47729102607448,4,2,12656.0,4,2
E,E01008878,25.76,26.5,16.900000000000002,34.47661885006435,4,2,12657.0,4,2
E,E01002593,27.108,28.9,9.3,34.474156340395346,3,2,12658.0,4,2
E,E01016273,25.418,27.800000000000004,18.8,34.471121767634,4,2,12659.0,4,2
S,S01010432,36.540189310578064,25.0,17.0,34.470125845793945,2,2,12660.0,4,2
S,S01013200,35.39749477484641,26.0,15.0,34.469841620476124,2,2,12661.0,4,2
E,E01004890,26.285,19.6,13.900000000000002,34.46696032435894,4,2,12662.0,4,2
E,E01023957,25.823,31.7,16.5,34.46677325285032,4,2,12663.0,4,2
E,E01034848,25.537,32.4,18.099999999999998,34.464589214742745,4,2,12664.0,4,2
E,E01034258,25.801,25.2,16.6,34.46159376484433,4,2,12665.0,4,2
E,E01003725,25.764,30.0,16.8,34.45979258261898,4,2,12666.0,4,2
E,E01015752,26.348,30.5,13.5,34.45711472714491,4,2,12667.0,4,2
E,E01019063,26.382,22.7,13.3,34.4552482834617,4,2,12668.0,4,2
E,E01000203,25.902,38.4,16.0,34.45477189182517,4,2,12669.0,4,2
E,E01015218,25.882,26.400000000000002,16.1,34.45203748775821,4,2,12670.0,4,2
S,S01011289,35.38089710176045,24.0,15.0,34.446254144578255,2,2,12671.0,4,2
E,E01009232,26.143,29.799999999999997,14.6,34.44537441195123,4,2,12672.0,4,2
E,E01017263,26.32,25.5,13.600000000000001,34.444599987321794,4,2,12673.0,4,2
E,E01002018,25.534,29.7,18.0,34.43920515351074,4,2,12674.0,4,2
E,E01021907,26.616,16.5,11.899999999999999,34.437293009801124,3,2,12675.0,4,2
E,E01030185,25.388,29.7,18.8,34.4344455085484,4,2,12676.0,4,2
S,S01013168,36.51281724106556,21.0,17.0,34.43122653583902,2,2,12677.0,4,2
E,E01015751,25.987,34.599999999999994,15.4,34.428389347293674,4,2,12678.0,4,2
E,E01002184,26.232,34.8,14.000000000000002,34.42388203529782,4,2,12679.0,4,2
E,E01034279,25.627,29.799999999999997,17.4,34.42260294473542,4,2,12680.0,4,2
E,E01029326,26.639,21.7,11.700000000000001,34.42197860445318,3,2,12681.0,4,2
E,E01022028,26.336,18.6,13.4,34.42072778818722,4,2,12682.0,4,2
E,E01021295,25.997,26.6,15.299999999999999,34.41889833166543,4,2,12683.0,4,2
E,E01025703,26.652,21.6,11.600000000000001,34.41615521473351,3,2,12684.0,4,2
E,E01008767,25.497,22.5,18.099999999999998,34.41568753596194,4,2,12685.0,4,2
S,S01007699,37.07249869443371,19.0,18.0,34.41478999214845,2,2,12686.0,4,2
E,E01009518,25.849,29.4,16.1,34.411693602764046,4,2,12687.0,4,2
E,E01025393,26.398,14.799999999999999,13.0,34.40965964900367,4,2,12688.0,4,2
E,E01017028,26.627,26.200000000000003,11.700000000000001,34.40730810081894,3,2,12689.0,4,2
E,E01002247,25.879,36.8,15.9,34.40493699120275,4,2,12690.0,4,2
W,W01000030,34.4,28.0,17.0,34.4,2,2,12691.5,4,2
W,W01001804,34.4,25.0,12.0,34.4,2,2,12691.5,4,2
E,E01032133,25.535,30.2,17.8,34.396994824833364,4,2,12693.0,4,2
E,E01000211,26.085,33.5,14.7,34.396183413042515,4,2,12694.0,4,2
E,E01032449,26.137,28.499999999999996,14.399999999999999,34.394606289487214,4,2,12695.0,4,2
E,E01034476,26.029,37.8,15.0,34.39287036871973,4,2,12696.0,4,2
N,95GG15S3,11.47110212007028,8.7,19.2,34.39111770515726,8,2,12697.0,4,2
E,E01003757,26.027,39.0,15.0,34.39042528478069,4,2,12698.0,4,2
E,E01001930,25.796,23.9,16.3,34.39033174902638,4,2,12699.0,4,2
E,E01001646,25.76,35.8,16.5,34.389753108770556,4,2,12700.0,4,2
S,S01009079,34.76942526862415,19.0,14.0,34.38908974865537,2,2,12701.0,4,2
E,E01030270,25.564,26.3,17.599999999999998,34.389015671302545,4,2,12702.0,4,2
E,E01034585,25.953,27.700000000000003,15.4,34.38682292033,4,2,12703.0,4,2
E,E01019544,25.349,27.6,18.8,34.38676637173711,4,2,12704.0,4,2
E,E01012827,25.633,26.5,17.2,34.38650532590564,4,2,12705.0,4,2
E,E01013320,25.828,26.8,16.1,34.386020221404124,4,2,12706.0,4,2
E,E01003146,25.809,29.799999999999997,16.2,34.38450835930669,4,2,12707.0,4,2
E,E01033497,25.843,30.599999999999998,16.0,34.38264191562348,4,2,12708.0,4,2
E,E01020678,25.292,24.6,19.1,34.38223078544482,4,2,12709.0,4,2
E,E01015221,25.558,25.3,17.599999999999998,34.38168041948543,4,2,12710.0,4,2
E,E01005311,26.622,22.1,11.600000000000001,34.3794789556479,3,2,12711.0,4,2
S,S01010908,36.47359544658092,24.0,17.0,34.37548720856787,2,2,12712.0,4,2
E,E01000075,26.014,30.5,15.0,34.37453223917693,4,2,12713.0,4,2
N,95LL24S2,13.495199646460293,10.9,16.7,34.37292541562164,7,2,12714.0,4,2
E,E01011830,25.478,21.0,18.0,34.37074280321762,4,2,12715.0,4,2
E,E01026665,26.167,20.7,14.099999999999998,34.366133242602466,4,2,12716.0,4,2
E,E01016137,25.97,28.4,15.2,34.364173263164936,4,2,12717.0,4,2
E,E01014109,25.897,27.0,15.6,34.36179344068376,4,2,12718.0,4,2
E,E01023785,25.771,30.4,16.3,34.35976819978838,4,2,12719.0,4,2
E,E01025587,25.377,27.3,18.5,34.355848240913325,4,2,12720.0,4,2
E,E01002641,26.282,32.2,13.4,34.354710521833134,4,2,12721.0,4,2
E,E01000041,26.175,36.8,14.000000000000002,34.35419714303517,4,2,12722.0,4,2
S,S01009874,37.60015562691444,23.0,19.0,34.35284239334425,2,2,12723.0,4,2
E,E01015449,25.552,31.8,17.5,34.352628732344854,4,2,12724.0,4,2
E,E01014035,25.693,27.200000000000003,16.7,34.35127566745961,4,2,12725.0,4,2
E,E01026266,26.652,25.3,11.3,34.351005908763156,3,2,12726.0,4,2
E,E01001393,26.261,33.1,13.5,34.35075357579666,4,2,12727.0,4,2
E,E01015084,25.408,25.8,18.3,34.35031417132156,4,2,12728.0,4,2
E,E01034970,25.562,26.5,17.4,34.34313771671661,4,2,12729.0,4,2
E,E01032738,26.961,18.7,9.5,34.337875541522784,3,2,12730.0,4,2
E,E01004676,26.072,29.2,14.499999999999998,34.33685749679185,4,2,12731.0,4,2
E,E01016381,26.018,28.9,14.799999999999999,34.33598953640811,4,2,12732.0,4,2
E,E01019364,25.804,30.7,16.0,34.33496277881219,4,2,12733.0,4,2
E,E01012345,24.507,10.9,23.3,34.334625622956366,4,2,12734.0,4,2
S,S01011923,35.301095189588665,21.0,15.0,34.33284513415805,2,2,12735.0,4,2
E,E01034064,25.711,26.8,16.5,34.32984855226407,4,2,12736.0,4,2
S,S01011275,36.44052760904615,23.0,17.0,34.328493463311716,2,2,12737.0,4,2
E,E01026318,25.834,31.900000000000002,15.8,34.3282061672509,4,2,12738.0,4,2
S,S01011297,35.297087181506726,25.0,15.0,34.32714922765708,2,2,12739.0,4,2
E,E01026752,26.063,19.2,14.499999999999998,34.32585461906617,4,2,12740.0,4,2
E,E01015927,26.027,31.0,14.7,34.325275978810346,4,2,12741.0,4,2
E,E01020556,25.262,22.7,19.0,34.32383809103576,4,2,12742.0,4,2
N,95II17W1,11.40620335190172,9.9,19.2,34.32083933739634,8,2,12743.0,4,2
E,E01010895,25.222,23.0,19.2,34.318369282901855,4,2,12744.0,4,2
E,E01017098,26.108,26.900000000000002,14.2,34.31571970172423,4,2,12745.0,4,2
E,E01015676,25.806,26.6,15.9,34.31569142742778,4,2,12746.0,4,2
S,S01012856,36.42576454042359,21.0,17.0,34.3075132015901,2,2,12747.0,4,2
