nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_W_score,original_decile,W_expanded_decile,UK_IMD_W_rank,UK_IMD_W_pop_decile,UK_IMD_W_pop_quintile
S,S01008661,15.43026617929488,9.0,6.0,13.40014161505887,6,7,30509.0,8,4
W,W01001860,13.4,10.0,5.0,13.4,7,7,30514.5,8,4
W,W01000269,13.4,12.0,9.0,13.4,7,7,30514.5,8,4
W,W01000124,13.4,8.0,6.0,13.4,7,7,30514.5,8,4
W,W01001584,13.4,13.0,8.0,13.4,7,7,30514.5,8,4
W,W01000497,13.4,7.0,4.0,13.4,7,7,30514.5,8,4
W,W01000813,13.4,11.0,9.0,13.4,7,7,30514.5,8,4
W,W01000721,13.4,11.0,7.0,13.4,7,7,30514.5,8,4
W,W01000206,13.4,7.0,7.0,13.4,7,7,30514.5,8,4
W,W01001672,13.4,12.0,7.0,13.4,7,7,30514.5,8,4
W,W01001594,13.4,9.0,5.0,13.4,7,7,30514.5,8,4
E,E01018379,9.797,13.0,9.700000000000001,13.39759804732636,8,7,30520.0,8,4
S,S01009038,15.998890304256438,8.0,7.0,13.39641378358234,6,7,30521.0,8,4
E,E01034365,10.151,16.6,7.7,13.3960491980675,8,7,30522.0,8,4
E,E01019735,10.364,7.9,6.5,13.3958534136939,8,7,30523.0,8,4
E,E01017643,10.576,6.1,5.3,13.394435087350775,8,7,30524.0,8,4
E,E01033812,10.38,11.899999999999999,6.4,13.393697649882773,8,7,30525.0,8,4
E,E01027182,10.273,11.799999999999999,7.000000000000001,13.39318427108481,8,7,30526.0,8,4
E,E01002421,10.059,13.700000000000001,8.200000000000001,13.392157513488893,8,7,30527.0,8,4
E,E01023124,10.164,12.5,7.6,13.390225808347811,8,7,30528.0,8,4
N,95SS30S1,3.996324899741872,4.8,4.6,13.389921571126084,10,7,30529.0,8,4
E,E01024808,10.376,10.4,6.4,13.38880748200469,8,7,30530.0,8,4
E,E01033821,10.428,14.899999999999999,6.1,13.38723035844939,8,7,30531.0,8,4
S,S01009366,17.705841973786754,10.0,10.0,13.386764108761621,5,7,30532.0,8,4
S,S01010234,15.991451581614458,10.0,7.0,13.38584238058386,6,7,30533.0,8,4
E,E01016103,10.409,11.5,6.2,13.385718496351958,8,7,30534.0,8,4
S,S01011042,15.990837096121863,9.0,7.0,13.384969115899642,6,7,30535.0,8,4
E,E01021725,10.355,9.0,6.5,13.38485053596822,8,7,30536.0,8,4
E,E01030167,10.319,9.2,6.7,13.384271895712391,8,7,30537.0,8,4
E,E01027944,9.981,10.299999999999999,8.6,13.38366498116012,8,7,30538.0,8,4
S,S01009084,14.84683636534515,5.0,5.0,13.382828615670048,6,7,30539.0,8,4
E,E01024995,9.927,9.0,8.9,13.382797020776382,8,7,30540.0,8,4
E,E01032074,9.749,9.700000000000001,9.9,13.38234890343629,8,7,30541.0,8,4
S,S01012338,17.130119230586754,12.0,9.0,13.380403870317727,5,7,30542.0,8,4
S,S01008355,17.129507575717806,11.0,9.0,13.379534628321911,5,7,30543.0,8,4
E,E01018787,10.101,13.200000000000001,7.9,13.378354970238394,8,7,30544.0,8,4
E,E01017049,10.242,10.4,7.1,13.377001905353136,8,7,30545.0,8,4
E,E01012063,10.011,11.899999999999999,8.4,13.376908369598826,8,7,30546.0,8,4
E,E01019616,10.526,6.1,5.5,13.376740859521666,8,7,30547.0,8,4
E,E01020120,10.206,9.4,7.3,13.37642326509731,8,7,30548.0,8,4
E,E01024385,10.188,12.7,7.3999999999999995,13.376133944969398,8,7,30549.0,8,4
E,E01006852,10.028,8.3,8.3,13.375975147757222,8,7,30550.0,8,4
E,E01013035,10.294,9.5,6.800000000000001,13.375424781797836,8,7,30551.0,8,4
S,S01007227,17.12628458535353,9.0,9.0,13.37495433522042,5,7,30552.0,8,4
E,E01020416,10.239,10.8,7.1,13.373334279444576,8,7,30553.0,8,4
E,E01008312,10.096,15.2,7.9,13.372242260390793,8,7,30554.0,8,4
E,E01022468,10.362,6.2,6.4,13.37169189443141,8,7,30555.0,8,4
S,S01013256,18.266357627180803,11.0,11.0,13.371513072997558,5,7,30556.0,8,4
E,E01021661,10.272,11.200000000000001,6.9,13.370245293791841,8,7,30557.0,8,4
E,E01007265,9.756,12.8,9.8,13.369190261899483,8,7,30558.0,8,4
E,E01018268,10.431,8.9,6.0,13.3691815490345,8,7,30559.0,8,4
E,E01014722,9.951,11.600000000000001,8.7,13.368705157397969,8,7,30560.0,8,4
E,E01022871,9.7,15.5,10.100000000000001,13.365877217576699,8,7,30561.0,8,4
E,E01014735,10.214,10.4,7.199999999999999,13.364487165530024,8,7,30562.0,8,4
E,E01014733,10.353,15.1,6.4,13.360689016705727,8,7,30563.0,8,4
S,S01011644,15.972826225364717,11.0,7.0,13.359373300288393,6,7,30564.0,8,4
E,E01034267,10.405,13.3,6.1,13.359111893150425,8,7,30565.0,8,4
E,E01025654,10.118,13.8,7.7,13.355705313073337,8,7,30566.0,8,4
E,E01022352,10.491,7.000000000000001,5.6000000000000005,13.355668325911914,8,7,30567.0,8,4
E,E01035147,9.78,12.1,9.6,13.355098398521069,8,7,30568.0,8,4
E,E01016794,10.206,11.5,7.199999999999999,13.354706829773862,8,7,30569.0,8,4
E,E01029882,10.027,11.799999999999999,8.200000000000001,13.353036170464248,8,7,30570.0,8,4
E,E01006229,10.098,12.0,7.8,13.352970909006382,8,7,30571.0,8,4
E,E01030583,10.239,10.299999999999999,7.000000000000001,13.351617844121126,8,7,30572.0,8,4
E,E01007224,9.989,12.0,8.4,13.350012446269385,8,7,30573.0,8,4
E,E01027285,10.362,11.5,6.3,13.349975459107961,8,7,30574.0,8,4
E,E01003749,10.095,12.9,7.8,13.349303283097822,8,7,30575.0,8,4
E,E01017885,10.325,10.2,6.5,13.348174276882613,8,7,30576.0,8,4
S,S01010713,14.822379846395076,8.0,5.0,13.348072686432664,6,7,30577.0,8,4
E,E01001046,10.165,17.1,7.3999999999999995,13.348015479670433,8,7,30578.0,8,4
S,S01010708,16.534287900484653,7.0,8.0,13.345466685790049,6,7,30579.0,8,4
E,E01022604,10.447,7.1,5.800000000000001,13.345309349899926,8,7,30580.0,8,4
