nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_W_score,original_decile,W_expanded_decile,GB_IMD_W_rank,GB_IMD_W_pop_decile,GB_IMD_W_pop_quintile
E,E01034099,9.584,14.099999999999998,7.1,15.630964620582416,8,6,27293.0,7,4
E,E01031658,11.556,10.9,6.6000000000000005,15.63069554425367,7,6,27294.0,7,4
E,E01006255,13.325,10.0,9.0,15.63026556080721,7,6,27295.0,7,4
E,E01022089,12.984,8.0,5.4,15.628276116524688,7,6,27296.0,7,4
E,E01006252,12.098,11.700000000000001,8.9,15.625526431620376,7,6,27297.0,7,4
E,E01022413,13.172,7.1,4.5,15.624395404663863,7,6,27298.0,7,4
E,E01030117,10.188,12.8,6.5,15.622969078656746,8,6,27299.0,7,4
S,S01007078,21.86949241101441,13.0,11.0,15.622062573204706,4,6,27300.0,7,4
E,E01014936,10.27,14.2,8.7,15.62040053558489,8,6,27301.0,7,4
E,E01029416,8.664,15.0,6.5,15.61898456528632,8,6,27302.0,7,4
E,E01028496,9.524,15.0,8.3,15.61833889908252,8,6,27303.0,7,4
E,E01028506,10.958,11.4,6.1,15.616336048223882,8,6,27304.0,7,4
E,E01031382,12.645,12.0,10.5,15.614113987037982,7,6,27305.0,7,4
S,S01007240,18.55603967382741,8.0,6.0,15.612663434039693,5,6,27306.0,7,4
E,E01029777,11.187,13.0,8.9,15.611990931224154,7,6,27307.0,7,4
S,S01012747,21.32410281954067,13.0,10.0,15.60991188005724,4,6,27308.0,7,4
E,E01011825,10.589,13.100000000000001,7.8,15.608812276008017,8,6,27309.0,7,4
E,E01008066,13.476,5.6000000000000005,3.0,15.60794565971142,7,6,27310.0,7,4
S,S01009751,23.055872180691654,14.0,13.0,15.606230439088877,4,6,27311.0,7,4
E,E01011214,11.169,12.6,8.3,15.603920980610743,7,6,27312.0,7,4
E,E01012475,11.461,12.8,9.2,15.603819276336598,7,6,27313.0,7,4
E,E01025755,10.853,13.4,8.799999999999999,15.601536511006476,8,6,27314.0,7,4
W,W01000959,15.6,14.0,11.0,15.6,6,6,27320.0,7,4
W,W01000166,15.6,13.0,7.0,15.6,6,6,27320.0,7,4
W,W01001472,15.6,11.0,10.0,15.6,6,6,27320.0,7,4
W,W01001754,15.6,12.0,8.0,15.6,6,6,27320.0,7,4
W,W01000433,15.6,10.0,7.0,15.6,6,6,27320.0,7,4
W,W01000104,15.6,18.0,11.0,15.6,6,6,27320.0,7,4
W,W01000035,15.6,12.0,7.0,15.6,6,6,27320.0,7,4
W,W01000806,15.6,15.0,9.0,15.6,6,6,27320.0,7,4
W,W01000319,15.6,13.0,12.0,15.6,6,6,27320.0,7,4
W,W01000500,15.6,13.0,8.0,15.6,6,6,27320.0,7,4
W,W01000798,15.6,11.0,11.0,15.6,6,6,27320.0,7,4
E,E01023162,13.0,6.9,3.9,15.599434768276373,7,6,27326.0,7,4
E,E01007615,13.272,12.8,13.0,15.597584089359994,7,6,27327.0,7,4
E,E01016830,10.184,13.600000000000001,7.7,15.59632944337898,8,6,27328.0,7,4
E,E01026138,11.645,12.8,9.6,15.596070544023826,7,6,27329.0,7,4
E,E01011885,13.627,10.9,11.0,15.595725444206089,7,6,27330.0,7,4
E,E01023424,11.766,10.2,6.1,15.593619507005084,7,6,27331.0,7,4
S,S01013179,19.077564659267654,8.0,7.0,15.591973188339256,5,6,27332.0,7,4
E,E01026893,12.811,10.0,8.0,15.591885017307952,7,6,27333.0,7,4
E,E01024354,10.849,12.7,7.8,15.59125820375068,8,6,27334.0,7,4
E,E01032655,11.264,11.200000000000001,6.5,15.591254372481526,7,6,27335.0,7,4
E,E01017047,11.502,11.200000000000001,7.000000000000001,15.590124364391482,7,6,27336.0,7,4
E,E01003834,10.908,13.3,8.799999999999999,15.586453108815997,8,6,27337.0,7,4
E,E01003867,9.908,13.5,7.000000000000001,15.58518092702232,8,6,27338.0,7,4
E,E01024157,13.219,9.4,8.0,15.584804700349013,7,6,27339.0,7,4
E,E01022217,9.077,15.6,8.3,15.583709167949497,8,6,27340.0,7,4
E,E01033170,10.42,14.000000000000002,8.799999999999999,15.581879617650053,8,6,27341.0,7,4
E,E01034455,10.503,11.799999999999999,5.800000000000001,15.578740830196764,8,6,27342.0,7,4
E,E01004159,10.794,13.8,9.3,15.57838950390703,8,6,27343.0,7,4
E,E01022864,10.591,16.1,12.2,15.57822859678931,8,6,27344.0,7,4
E,E01021620,11.198,11.899999999999999,7.3999999999999995,15.577802140912768,7,6,27345.0,7,4
E,E01010461,10.755,14.2,9.8,15.576632265059866,8,6,27346.0,7,4
E,E01007724,10.393,13.200000000000001,7.6,15.575365112136767,8,6,27347.0,7,4
S,S01009075,22.49674607382604,14.0,12.0,15.575176435267242,4,6,27348.0,7,4
S,S01012806,20.50886326502845,11.0,9.0,15.569796812328976,5,6,27349.0,7,4
E,E01001564,10.355,12.9,7.1,15.568677008096886,8,6,27350.0,7,4
E,E01001470,10.598,14.000000000000002,9.2,15.567713954861597,8,6,27351.0,7,4
E,E01034344,12.022,11.799999999999999,9.0,15.567016927087487,7,6,27352.0,7,4
E,E01019591,11.32,13.3,9.700000000000001,15.566879484287032,7,6,27353.0,7,4
E,E01019769,13.165,8.0,5.8999999999999995,15.566185268915612,7,6,27354.0,7,4
E,E01033465,10.942,13.5,9.2,15.566091644379604,8,6,27355.0,7,4
E,E01022566,10.414,12.6,6.800000000000001,15.563461979963689,8,6,27356.0,7,4
E,E01027457,15.064,8.5,10.6,15.563388536144334,6,6,27357.0,7,4
S,S01010943,21.950099385782707,14.0,11.0,15.561295806519333,4,6,27358.0,7,4
E,E01035451,9.8,14.799999999999999,8.7,15.561172570961734,8,6,27359.0,7,4
S,S01008238,22.60946834188718,15.0,12.0,15.55860467358771,4,6,27360.0,7,4
E,E01032701,8.723,14.899999999999999,6.6000000000000005,15.55704546668784,8,6,27361.0,7,4
E,E01002935,9.525,13.600000000000001,6.4,15.556274030226,8,6,27362.0,7,4
E,E01022005,12.754,10.100000000000001,8.1,15.553695792614743,7,6,27363.0,7,4
S,S01012251,21.283110088613714,13.0,10.0,15.55350031526161,4,6,27364.0,7,4
E,E01021973,12.632,9.1,6.4,15.553437608426824,7,6,27365.0,7,4
S,S01011375,21.282130604245214,13.0,10.0,15.552152411751146,4,6,27366.0,7,4
S,S01011133,19.422421148064696,11.0,7.0,15.55146381782526,5,6,27367.0,7,4
E,E01025993,11.246,13.8,10.299999999999999,15.550461765824185,7,6,27368.0,7,4
E,E01000207,11.331,10.7,6.0,15.549052021997616,7,6,27369.0,7,4
E,E01035152,9.219,14.099999999999998,6.5,15.54740325032888,8,6,27370.0,7,4
E,E01006302,11.313,11.899999999999999,7.7,15.547392358188056,7,6,27371.0,7,4
S,S01012200,22.88815956634069,13.0,13.0,15.547128016279695,4,6,27372.0,7,4
E,E01003710,10.403,14.6,9.700000000000001,15.546927053415128,8,6,27373.0,7,4
